"NombreMunicipio","CodigoMunicipio","Ubicacion","NombreRegion","CodigoRegion","Año","NumeroCasos","TasaXMilHabitantes"
"Peque","05543","POINT (-75.908927 7.021696)","OCCIDENTE","6","2006","25","3.2"
"Pueblorrico","05576","POINT (-75.841914 5.790844)","SUROESTE","8","2006","45","5"
"Puerto Berrío","05579","POINT (-74.402022 6.490753)","MAGDALENA MEDIO","3","2006","323","9.2"
"Puerto Nare","05585","POINT (-74.581675 6.187952)","MAGDALENA MEDIO","3","2006","60","4"
"Puerto Triunfo","05591","POINT (-74.640079 5.87335)","MAGDALENA MEDIO","3","2006","86","6"
"Remedios","05604","POINT (-74.69368 7.02808)","NORDESTE","4","2006","102","4.1"
"Rionegro","05615","POINT (-75.373872 6.153548)","ORIENTE","7","2006","461","4.3"
"Sabanalarga","05628","POINT (-75.818245 6.850482)","OCCIDENTE","6","2006","37","4.3"
"Sabaneta","05631","POINT (-75.615491 6.15156)","VALLE DE ABURRA","1","2006","201","3.4"
"Salgar","05642","POINT (-75.979184 5.963438)","SUROESTE","8","2006","94","4.8"
"San Andrés de Cuerquia","05647","POINT (-75.67649 6.914739)","NORTE","5","2006","39","5.1"
"San Carlos","05649","POINT (-74.992086 6.188726)","ORIENTE","7","2006","84","4.2"
"San Francisco","05652","POINT (-75.102069 5.964854)","ORIENTE","7","2006","25","4.2"
"San Jerónimo","05656","POINT (-75.72792 6.442677)","OCCIDENTE","6","2006","73","5.4"
"San José de La Montaña","05658","POINT (-75.683472 6.848958)","NORTE","5","2006","9","2.8"
"San Juan de Urabá","05659","POINT (-76.524538 8.766496)","URABA","9","2006","41","2.5"
"San Luis","05660","POINT (-74.994436 6.042772)","ORIENTE","7","2006","77","5.7"
"San Pedro de Los Milagros","05664","POINT (-75.555959 6.461815)","NORTE","5","2006","109","5.7"
"San Pedro de Urabá","05665","POINT (-76.382921 8.277916)","URABA","9","2006","72","2.6"
"San Rafael","05667","POINT (-75.028257 6.295426)","ORIENTE","7","2006","71","4.3"
"San Roque","05670","POINT (-75.019485 6.485044)","NORDESTE","4","2006","99","4.7"
"San Vicente","05674","POINT (-75.331782 6.282678)","ORIENTE","7","2006","91","4.2"
"Santa Bárbara","05679","POINT (-75.568167 5.874215)","SUROESTE","8","2006","178","6.3"
"Santa Fe de Antioquia","05042","POINT (-75.827742 6.556455)","OCCIDENTE","6","2006","125","5.3"
"Santa Rosa de Osos","05686","POINT (-75.460696 6.648965)","NORTE","5","2006","161","5"
"Santo Domingo","05690","POINT (-75.164398 6.471292)","NORDESTE","4","2006","74","5.4"
"Segovia","05736","POINT (-75.164407 6.471289)","NORDESTE","4","2006","166","5.2"
"Sonsón","05756","POINT (-75.31098 5.709254)","ORIENTE","7","2006","223","5.9"
"Sopetrán","05761","POINT (-75.742487 6.500955)","OCCIDENTE","6","2006","74","5.2"
"Támesis","05789","POINT (-75.712508 5.662788)","SUROESTE","8","2006","104","5.8"
"Tarazá","05790","POINT (-75.39983 7.58049)","BAJO CAUCA","2","2006","216","9.6"
"Tarso","05792","POINT (-75.82213 5.865469)","SUROESTE","8","2006","28","4.3"
"Titiribí","05809","POINT (-75.793717 6.063419)","SUROESTE","8","2006","51","4.2"
"Toledo","05819","POINT (-75.691555 7.01096)","NORTE","5","2006","17","3.1"
"Turbo","05837","POINT (-76.728476 8.095151)","URABA","9","2006","495","4.7"
"Uramita","05842","POINT (-76.266639 7.001396)","OCCIDENTE","6","2006","44","5.8"
"Urrao","05847","POINT (-76.134557 6.317018)","SUROESTE","8","2006","184","6.3"
"Valdivia","05854","POINT (-75.391627 7.292119)","NORTE","5","2006","186","13.7"
"Valparaíso","05856","POINT (-75.62448 5.616356)","SUROESTE","8","2006","43","5.5"
"Vegachí","05858","POINT (-74.798745 6.77151)","NORDESTE","4","2006","55","4.6"
"Venecia","05861","POINT (-75.733897 5.963555)","SUROESTE","8","2006","77","6.4"
"Vigía del Fuerte","05873","POINT (-76.896085 6.589081)","URABA","9","2006","13","1.6"
"Yalí","05885","POINT (-74.842107 6.675328)","NORDESTE","4","2006","31","4.1"
"Yarumal","05887","POINT (-75.416733 6.963321)","NORTE","5","2006","271","7"
"Yolombó","05890","POINT (-75.01183 6.59926)","NORDESTE","4","2006","99","4.5"
"Yondó","05893","POINT (-73.909599 7.007398)","MAGDALENA MEDIO","3","2006","65","4.4"
"Zaragoza","05895","POINT (-74.868261 7.492548)","BAJO CAUCA","2","2006","114","4.8"
"Abejorral","05002","POINT (-75.427045 5.79145)","ORIENTE","7","2007","116","5.2"
"Abriaquí","05004","POINT (-76.064563 6.63197)","OCCIDENTE","6","2007","11","4.2"
"Alejandría","05021","POINT (-75.141258 6.376923)","ORIENTE","7","2007","21","4.5"
"Amagá","05030","POINT (-75.703216 6.04063)","SUROESTE","8","2007","154","5.6"
"Amalfi","05031","POINT (-75.075028 6.907385)","NORDESTE","4","2007","132","5.7"
"Andes","05034","POINT (-75.877699 5.655629)","SUROESTE","8","2007","249","5.9"
"Angelópolis","05036","POINT (-75.710262 6.111531)","SUROESTE","8","2007","35","6"
"Angostura","05038","POINT (-75.334973 6.885789)","NORTE","5","2007","52","4.3"
"Anorí","05040","POINT (-75.145827 7.073577)","NORDESTE","4","2007","89","5.5"
"Anzá","05044","POINT (-75.854027 6.303405)","OCCIDENTE","6","2007","33","4.8"
"Apartadó","05045","POINT (-76.630692 7.887047)","URABA","9","2007","416","4.3"
"Arboletes","05051","POINT (-76.427353 8.852936)","URABA","9","2007","98","3.4"
"Argelia","05055","POINT (-75.142821 5.731236)","ORIENTE","7","2007","49","5.3"
"Armenia","05059","POINT (-75.787666 6.156497)","OCCIDENTE","6","2007","15","2.6"
"Barbosa","05079","POINT (-75.331286 6.437248)","VALLE DE ABURRA","1","2007","227","5.1"
"Bello","05088","POINT (-75.558281 6.334985)","VALLE DE ABURRA","1","2007","1599","3.8"
"Belmira","05086","POINT (-75.667252 6.606713)","NORTE","5","2007","25","4.2"
"Betania","05091","POINT (-75.976261 5.745292)","SUROESTE","8","2007","49","4.3"
"Betulia","05093","POINT (-75.984594 6.113454)","SUROESTE","8","2007","82","5.3"
"Briceño","05107","POINT (-75.551532 7.110465)","NORTE","5","2007","47","5.6"
"Buriticá","05113","POINT (-75.907102 6.719872)","OCCIDENTE","6","2007","35","4.1"
"Cáceres","05120","POINT (-75.347874 7.582281)","BAJO CAUCA","2","2007","114","4.5"
"Caicedo","05125","POINT (-75.982545 6.406072)","OCCIDENTE","6","2007","30","3.8"
"Caldas","05129","POINT (-75.635534 6.09199)","VALLE DE ABURRA","1","2007","335","5"
"Campamento","05134","POINT (-75.29634 6.979113)","NORTE","5","2007","64","6.6"
"Cañasgordas","05138","POINT (-76.025603 6.749957)","OCCIDENTE","6","2007","79","4.7"
"Caracolí","05142","POINT (-74.756712 6.410876)","MAGDALENA MEDIO","3","2007","41","7.9"
"Caramanta","05145","POINT (-75.644483 5.548681)","SUROESTE","8","2007","29","5"
"Carepa","05147","POINT (-76.655568 7.755937)","URABA","9","2007","132","3.6"
"Carolina","05150","POINT (-75.281494 6.723626)","NORTE","5","2007","25","6.4"
"Caucasia","05154","POINT (-75.197397 7.989436)","BAJO CAUCA","2","2007","361","4.9"
"Chigorodó","05172","POINT (-76.685044 7.672652)","URABA","9","2007","219","4.8"
"Cisneros","05190","POINT (-75.087684 6.538526)","NORDESTE","4","2007","62","6.5"
"Ciudad Bolívar","05101","POINT (-76.020994 5.850015)","SUROESTE","8","2007","157","5.8"
